Date,Files,Comment Lines,Lines of Code
2010-11-05,10,197,529
2010-11-09,20,262,775
2010-11-10,25,237,599
2010-11-11,27,258,681
2010-11-12,27,259,691
2010-11-13,31,304,1178
2010-11-14,37,401,1550
2010-11-16,37,463,1895
2010-11-18,37,458,1901
2010-11-19,41,517,2421
2010-12-07,47,602,2646
2010-12-10,49,621,2782
2010-12-12,74,1696,8788
2010-12-15,74,1716,8883
2010-12-16,74,1719,8937
2010-12-17,74,1706,8935
2011-01-11,74,1711,9032
2011-01-16,74,1712,9032
2011-01-26,74,1716,9039
2011-01-27,74,1707,9024
2011-04-12,96,1866,9145
2011-04-18,96,1872,9178
2011-04-19,96,1896,9326
2011-04-20,104,1978,9534
2011-04-24,136,2217,9745
2011-04-27,136,2224,9840
2011-04-28,140,2255,9954
2011-05-01,140,2305,9964
2011-05-07,152,2359,10065
2011-05-08,152,2359,10067
2011-07-11,170,2484,10190
2011-07-13,174,2516,10446
2011-07-22,178,2857,11603
2011-07-24,178,2866,11584
2011-07-25,190,3010,12111
2011-07-27,190,3032,12315
2011-07-28,190,3062,12315
2011-08-02,200,3371,13118
2011-08-03,200,3337,13230
2011-08-04,200,3346,13288
2011-08-17,209,3656,14237
2011-08-18,213,3746,14597
2011-08-19,213,3746,14597
2011-08-22,213,3750,14609
2011-08-31,213,3758,14648
2011-09-01,213,3767,14681
2011-09-02,213,3891,14681
2011-09-06,215,3850,14874
2011-09-08,217,3881,14994
2011-09-13,215,3873,15026
2011-09-14,219,3945,15288
2011-09-15,221,3967,15494
2011-09-19,221,3968,15504
2011-09-21,223,4014,15742
2011-09-28,223,4015,15933
2011-09-29,223,4283,16001
2011-09-30,225,4532,16475
2011-10-01,225,4545,16517
2011-10-02,225,4509,16518
